paper_id	R1	R2	R3	median	mean	spread	accept_side_votes	median_confidence	median_current_ceiling	median_predicted_after_required_changes	baseline_median	median_delta_vs_baseline
A1	4	4	2	4	3.33	2	0	4	4	6	NA	NA
A10	2	2	2	2	2.00	0	0	4	2	4	NA	NA
A14	4	6	6	6	5.33	2	2	4	6	8	6	0
A23	2	2	2	2	2.00	0	0	4	2	6	NA	NA
A31	4	4	4	4	4.00	0	0	4	4	6	4	0
A32	4	6	6	6	5.33	2	2	4	6	8	NA	NA
C1	4	6	4	4	4.67	2	1	4	4	6	6	-2
C2	4	4	4	4	4.00	0	0	4	4	6	6	-2
C3	2	2	4	2	2.67	2	0	4	4	4	2	0
P1	2	2	4	2	2.67	2	0	4	4	4	2	0
P3	4	4	4	4	4.00	0	0	4	4	6	4	0
P5	4	4	4	4	4.00	0	0	4	4	6	4	0
P7	4	4	4	4	4.00	0	0	4	4	6	4	0
S1	2	2	2	2	2.00	0	0	4	2	6	4	-2
