work	citation_key	venue_year	primary_problem	state_shared_or_compressed	system_scope	main_evidence	relation_to_forkaudit
PagedAttention	kwon2023pagedattention	SOSP 2023	Paged KV memory management and sharing	Attention KV pages	Full serving engine	2--4x serving throughput at similar latency in its native comparison	Establishes that KV page sharing is prior art; ForkAudit focuses hybrid-state ownership invariants and audit denominators.
SGLang / RadixAttention	zheng2024sglang	NeurIPS 2024	Structured program execution and prefix reuse	Transformer KV prefixes	Runtime and scheduler	Up to 6.4x throughput across its application suite	Prior art for tree-structured prefix reuse; broader serving system than ForkAudit.
Prompt Cache	gim2024promptcache	MLSys 2024	Reusable prompt modules	Attention states	Prototype inference stack	1.5--3.1x CPU-resident and 3.7--11.7x GPU-resident TTFT in its supplemental 12-dataset LongBench evaluation	Prior art for cross-request attention-state reuse and positional correctness.
ChunkAttention	ye2024chunkattention	ACL 2024	Prefix-aware KV layout and attention kernel	Attention KV chunks	Kernel plus prefix tree	3.2--4.8x attention-kernel speedup for 1K--4K shared prompts	Prior art for shared-prefix physical storage and compute locality.
Hydragen	juravsky2024hydragen	arXiv 2024; ICML workshop poster	Exact shared-prefix batched attention	Attention KV prefix	Custom attention implementation	Up to 32x CodeLlama-13B throughput in large shared-prefix batches	Prior exact same-prefix compute decomposition; ForkAudit does not claim a new kernel or speedup. Qualification: not an ICML main-conference paper.
Preble	srivatsa2025preble	ICLR 2025	Distributed prompt-sharing scheduling	KV state	Distributed serving platform	1.5--14.5x average-latency and 2--10x p99-latency improvement	Demonstrates scheduler-level evidence absent from ForkAudit.
Marconi	pan2025marconi	MLSys 2025	Prefix caching for hybrid LLMs	Attention KV plus recurrent state	Serving cache admission and eviction	Up to 34.4x token-hit rate and up to 71.1% or 617 ms lower TTFT	Closest hybrid-state system; ForkAudit contributes an ownership/isolation audit rather than admission/eviction policy.
CoMem	liu2026comem;liu2026understanding	COLM 2026 Efficient Reasoning Workshop; expanded arXiv 2026 version	Reusing prepaid Transformer depth across repeated document queries	One intermediate residual per token at a selected split depth	Write-once document chunks, bounded top-k selection, decoder-suffix replay	Matched j=0 depth-axis quality, latency, storage, and amortization	Both versions are cited as the algorithmic origin of the persistent document object; ForkAudit audits later hybrid KV/GDN ownership and does not re-evaluate CoMem's selector or quality-latency frontier.
SCBench	li2025scbench	ICLR 2025	KV-cache-centric long-context evaluation	Multiple cache methods	Benchmark	Tasks, models, and cache lifecycle phases	Broad benchmark that exposes ForkAudit's single-case evaluation limitation.
Gated DeltaNet	yang2025gateddeltanet	ICLR 2025	Expressive recurrent linear attention	Recurrent matrix state	Model architecture	Language and long-context tasks	Defines the recurrent state type whose request isolation ForkAudit audits.
Jamba	lieber2025jamba	ICLR 2025	Large-scale hybrid Transformer-Mamba modeling	Attention KV plus Mamba recurrent state	Model architecture and inference study	Long-context throughput, memory, and quality	Establishes hybrid-model motivation; it is not a cross-request ownership protocol.
Palu	chang2025palu	ICLR 2025	Low-rank KV compression	KV hidden dimension	Method plus kernels	Quality, memory, and attention speed	Compression is orthogonal; calibrates the breadth expected for an ICLR systems paper.
SqueezeAttention	wang2025squeezeattention	ICLR 2025	Layer/token KV budget allocation	Compressed KV	Method and serving evaluation	Quality, memory, and throughput	Orthogonal compression work and an accepted-paper breadth anchor.
HeadKV	fu2025headkv	ICLR 2025	Head-level KV budget allocation	Compressed KV	Method evaluation	Retrieval, reasoning, and low-budget quality	Orthogonal lossy compression; reinforces that ForkAudit's evidence concerns exact isolation rather than quality-memory tradeoffs.
Metamorphic Testing review	chen2018metamorphic	ACM Computing Surveys 2018	Testing systems with difficult conventional oracles	Input/output relations	Testing methodology	Survey of metamorphic relations and applications	Methodological basis for paired fresh-versus-reuse invariants; it does not validate ForkAudit's chosen invariants by itself.
MT-DLComp	xiao2022metamorphic	POMACS / SIGMETRICS 2022	Testing deep-learning compiler correctness without a complete oracle	Semantics-preserving model variants	Compiler testing framework	Error-triggering inputs and diagnosed compiler bugs	Direct metamorphic-testing precedent; ForkAudit applies a narrower relation to serving ownership and adds storage witnesses, but does not establish an independent semantic oracle.
CRADLE	pham2019cradle	ICSE 2019	Detecting and localizing deep-learning backend bugs	Outputs and hidden states across independent backends	Cross-backend testing framework	Backend inconsistencies and localized bugs	Direct differential-testing precedent with implementation independence that ForkAudit's same-callable comparison lacks.
DNNMem	gao2020dnnmem	ESEC/FSE 2020	Estimating GPU memory with framework/runtime effects	Live tensors, fragmentation, reservation, and context	Pre-execution memory estimator	Estimation accuracy across models/frameworks	Supports explicit denominator separation; ForkAudit is a runtime ownership audit and does not measure NVML process memory.
Compressive Transformers / PG-19	rae2020compressive	ICLR 2020	Long-range sequence modeling and a book-level benchmark	Compressed past memory	Model and benchmark	Language modeling plus PG-19 release	Provides dataset provenance only; repeated queries from fixed books are not independent model replications.
Qwen3.5 and model card	qwen2026qwen35; qwen2026qwen35modelcard	Official sources 2026	Hybrid Gated DeltaNet and full-attention model architecture	GDN recurrent state plus full-attention KV	Model family and exact checkpoint	Official architecture specification	Provides the studied checkpoint's architecture facts; official but not peer reviewed and not evidence for ForkAudit correctness.
