paper_id	input_pdf	input_sha256	pages	source_status
A1	/Users/liuhanzuo/Downloads/A1-paper.pdf	7dcc065c0af6c2d5f6117fda524cb0aa1d5f39426d12cff8b4e107a4ce7803e3	23	exact_latex
A10	/Users/liuhanzuo/Downloads/A10-paper.pdf	8f7e4ebdc7c48e6ea427b858df4e96e5ff9cbf3d5273e3f32f83f35759eb348e	10	exact_latex
A14	/Users/liuhanzuo/Downloads/A14-paper (1).pdf	8d6123738eceb7fd64054672744d55b90881e0f4ad2bad80f95415478175066a	19	exact_latex_snapshot
A23	/Users/liuhanzuo/Downloads/A23-paper.pdf	9397d82fc8982994a36709d3992c1e73606c2e5618c7ad45da95f078335b740e	15	pdf_only_orphan_source_not_preserved
A31	/Users/liuhanzuo/Downloads/A31-paper (1).pdf	5289ce4e03e32b243befd8ccea394529b9a81912ab2b0ec11fabbdfe86a17f90	19	exact_latex_snapshot
A32	/Users/liuhanzuo/Downloads/A32-paper.pdf	b64f0a58ef38a6f82897aac6fc4c6278103fa67c1f6d1645df59c63bf62cffe3	12	exact_latex_snapshot_assets_repin_required
C1	/Users/liuhanzuo/Downloads/C1-paper (1).pdf	ad12a865f6aa40b345319158357dcd696564c0825ac320ab9b07b9a75a1b8a57	28	exact_latex_snapshot_assets_repin_required
C2	/Users/liuhanzuo/Downloads/C2-paper.pdf	7c8a617ddf4364056b71e15e97d7ee03421aba18edca01d94c53756a498fd6ef	30	exact_self_contained_latex_snapshot
C3	/Users/liuhanzuo/Downloads/C3-paper.pdf	6e4109840e80f6ee0e92142b717cee0ccf08393b13cd75d090a0684665f9ec01	14	exact_self_contained_latex_snapshot
P1	/Users/liuhanzuo/Downloads/P1-paper (1).pdf	bad75b40153309d97837b9a34bca37db62959570369c191e6f973ac5258fb303	25	exact_main_tex_reconstructed_dependency_tree
P3	/Users/liuhanzuo/Downloads/P3-paper (1).pdf	06510f2d83e09a7647f7efcd1abfadc4350da3438b5d7a23452297ccf9d84c5b	10	pdf_only_exact_tex_overwritten
P5	/Users/liuhanzuo/Downloads/P5-paper.pdf	9dfd6772ebab424f5da4d623fc44b8257ec7fa58951a6e3b877faac792850003	9	exact_latex
P7	/Users/liuhanzuo/Downloads/P7-paper.pdf	a6e9c44d17e1e89d1a2987c83883f59c8e2ce524762476f77624b791f11fe859	12	exact_latex
S1	/Users/liuhanzuo/Downloads/S1-paper (1).pdf	80a3b9dd0c1e49b863330f9f71cce333321d0b8bfe78d3375cc3c1ca81070a64	17	exact_frozen_latex_snapshot
