paper_id	baseline_ratings	baseline_median	basis
A1	NA	NA	no_prior_isolated_score_artifact_found
A10	NA	NA	no_prior_isolated_score_artifact_found
A14	6,6,4	6	three_current-version_blind_reviews_referenced_by_change_verifiers
A23	NA	NA	no_prior_isolated_score_artifact_found
A31	4,4,4	4	three_current-version_blind_reviews_referenced_by_change_verifiers
A32	NA	NA	no_prior_isolated_score_artifact_found
C1	4,6,6	6	output/reviews/seven_papers_batch_20260825/scores.json
C2	4,6,6	6	output/reviews/seven_papers_batch_20260825/scores.json
C3	2,4,2	2	output/reviews/seven_papers_batch_20260825/scores.json
P1	2,2,2	2	output/reviews/seven_papers_batch_20260825/scores.json
P3	2,4,4	4	output/reviews/seven_papers_batch_20260825/scores.json
P5	4,4,4	4	tmp/review_report_sections/p5_s1.md
P7	4,4,4	4	output/reviews/seven_papers_batch_20260825/scores.json
S1	2,4,4	4	output/reviews/seven_papers_batch_20260825/scores.json
